"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B00GQDORA4","B00GQDORA4","Rode VMGO Video Mic GO Lightweight On-Camera Microphone Super-Cardio","J4-UFTH-6RXR","1,950","12.81%","2,677","13.19%","99%","79","4.05%","Can$10,981.00","78"
"B00EO4A7L0","B00EO4A7L0","Rode smartLav+ Lavalier Microphone for iPhone and Smartphones","EL-0IBP-4KGG","1,090","7.16%","1,397","6.88%","98%","63","5.78%","Can$7,245.00","59"
"B0002Z82XA","B0002Z82XA","Behringer HPS3000 Studio Headphones","V4-Y6BD-MVCH","416","2.73%","546","2.69%","97%","26","6.25%","Can$1,024.97","23"
"B00266DM2O","B00266DM2O","Pace Ilok II","00-PXWJ-I3G5","74","0.49%","96","0.47%","100%","13","17.57%","Can$793.00","13"
"B00X741TB0","B00X741TB0","M-Audio AV42 Professional Studio Monitor Speakers (Pair)","FK-WIFP-KOKQ","1,216","7.99%","1,663","8.19%","38%","13","1.07%","Can$2,327.00","13"
"B00COPKOUK","B00COPKOUK","ARTURIA MiniLab 230401 25-Key MIDI Controller","92-80A1-M5M4","345","2.27%","468","2.31%","95%","12","3.48%","Can$1,548.00","12"
"B002M8GBDI","B002M8GBDI","Akai Professional LPK25 25-Key Ultra-Portable USB MIDI Keyboard Controller for Laptops","0B-GSY7-566W","431","2.83%","573","2.82%","87%","11","2.55%","Can$935.00","11"
"B002QAUOKS","B002QAUOKS","Rode NT1A Anniversary Vocal Condenser Microphone Package","QP-ICO0-4FRC","707","4.64%","918","4.52%","99%","11","1.56%","Can$3,949.00","11"
"B00I2J4V5G","B00I2J4V5G","Yamaha MG06X 6-Input Compact Stereo Mixer","S9-CLBC-U3T1","280","1.84%","376","1.85%","95%","9","3.21%","Can$1,259.91","9"
"B00IBIVL42","B00IBIVL42","Yamaha MG10XU 10-Input Stereo Mixer","N9-VVNK-1VJ8","250","1.64%","377","1.86%","95%","10","4.00%","Can$2,499.90","9"
"B00EO7UNXO","B00EO7UNXO","KRK RP5G3-NA Rokit 5 Generation 3 Powered Studio Monitor","JB-LX2F-A0IZ","740","4.86%","1,021","5.03%","84%","14","1.89%","Can$3,066.00","8"
"B0116X17JW","B0116X17JW","Akai Professional MPD218 Midi Pad Controller","NN-FJII-8UU9","208","1.37%","301","1.48%","82%","8","3.85%","Can$952.00","8"
"B00LOAA10O","B00EO5Q6L4","KRK RP6G3-NA Rokit 6 Generation 3 Powered Studio Monitor","O8-4XCR-IHCU","350","2.30%","480","2.36%","93%","12","3.43%","Can$3,468.00","6"
"B004M8UZG0","B004M8UZG0","Korg nanoKEY2 Slim-Line USB Keyboard, Black","F6-TSXW-E5GE","134","0.88%","184","0.91%","92%","5","3.73%","Can$345.00","5"
"B00CFOX420","B00CFOX420","Yamaha HS5 Studio Monitor, Black","OF-QTM0-LOE1","401","2.63%","556","2.74%","91%","9","2.24%","Can$2,119.91","5"
"B00HHEVL3C","B00HHEVL3C","Apogee MiC 96k Professional Quality Microphone for iPad, iPhone, and Mac","MD-49OT-5RVA","174","1.14%","250","1.23%","97%","5","2.87%","Can$1,495.00","5"
"B01CO35MGW","B01CO35MGW","Steinberg eLicenser - USB Key - License Management and Copy Protection","DS-YGJH-RWML","35","0.23%","48","0.24%","73%","5","14.29%","Can$184.95","5"
"B002QAUOKS","B002QAUOKS","Rode NT1A Anniversary Vocal Condenser Microphone Package","IT-HHKO-JX91","707","4.64%","918","4.52%","99%","4","0.57%","Can$1,436.00","4"
"B00CAKSVTU","B00CAKSVTU","Korg VOLCAKEYS - Analog Synth Machine","EA-ICS3-HO0Y","199","1.31%","266","1.31%","42%","4","2.01%","Can$916.00","4"
"B00HVO7FXI","B00HVO7FXI","Moog Theremin - Theremini","O4-4NB8-YLUS","144","0.95%","170","0.84%","94%","4","2.78%","Can$1,596.00","4"
"B00TDZPGKC","B00TDZPGKC","CME Xkey 37-key Mobile Keyboard Controller","DP-F7D6-8270","41","0.27%","62","0.31%","92%","4","9.76%","Can$1,079.96","4"
"B01E49ZZYS","B01E49ZZYS","Yamaha MD-BT01 Wireless Bluetooth Dual MIDI Adapter - For Standard MIDI Controllers & iOS","QL-2OK9-L5RR","34","0.22%","43","0.21%","79%","5","14.71%","Can$349.95","4"
"B0002MT6RY","B0002MT6RY","Fostex T50RP Semi-Open Dynamic Studio Headphones for Commercial Recording and Critical Listening Applications","RH-NCS4-HE2H","493","3.24%","676","3.33%","98%","3","0.61%","Can$477.00","3"
"B002M8EEW8","B002M8EEW8","Akai Pro LPD8 Ultra-Portable USB Pad Controller for Laptops","3Y-SHM0-APUF","79","0.52%","107","0.53%","50%","3","3.80%","Can$255.00","3"
"B00DCYMVB2","B00DCYMVB2","Yamaha HS8 Studio Monitor, Black","NX-R461-VMPG","658","4.32%","867","4.27%","97%","4","0.61%","Can$1,679.96","3"
"B00DU2VKV8","B00DU2VKV8","Xkey 25-Key Portable Musical Keyboard","GC-VHVL-XBZF","28","0.18%","37","0.18%","89%","3","10.71%","Can$351.00","3"
"B00L6C8PNU","B00L6C8PNU","Rode Microphones SC3 3.5mm TRRS to TRS Adaptor for smartLav","UM-W446-X2IN","68","0.45%","90","0.44%","96%","3","4.41%","Can$104.97","3"
"B00VXO7WB2","B00VXO7WB2","Avid Pro Tools Perpetual License with 12 Months Support Plan Student/Teacher Card and iLok","FBA318ML4L.missing1","121","0.79%","156","0.77%","71%","3","2.48%","Can$1,065.00","3"
"B015R0IQGW","B015R0IQGW","Rode Videomicro Compact on Camera Microphone (Model: VMICRO)","77-E1DT-A5S0","136","0.89%","186","0.92%","95%","4","2.94%","Can$396.00","3"
"B017VQ6PPO","B017VQ6PPO","Korg microKEY2 49-Key USB MIDI Controller","N9-V76U-2BEP","29","0.19%","39","0.19%","85%","3","10.34%","Can$507.00","3"
"B01BVX36YG","B01BVX36YG","Avid Pro Tools 12 Perpetual License with 1 Year Free Upgrade Plan - includes Card and iLok (Avid SKU #9935-66068-00)","CB-2458-LQTT","63","0.41%","77","0.38%","87%","3","4.76%","Can$1,947.00","3"
"B01C9AY630","B01C9AY630","ARTURIA MiniLab - Special Black Edition - 25-Key MIDI Controller","DI-KHWY-52FC","23","0.15%","34","0.17%","91%","3","13.04%","Can$387.00","3"
"B00AZ98Z8U","B00AZ98Z8U","Ableton Live 9 Intro Ableton Live 9 Intro DJ and Mixing Software with Sound Library","NU-JBN3-BK3N","65","0.43%","74","0.36%","85%","2","3.08%","Can$198.00","2"
"B00DHSK8C2","B00DHSK8C2","Yamaha HS8 Studio Subwoofer","A9-6JD9-5XVL","136","0.89%","167","0.82%","93%","2","1.47%","Can$1,059.98","2"
"B00IBIVLKQ","B00IBIVLKQ","Yamaha MG12XU 12-Input Stereo Mixer","LV-B17E-FJ30","87","0.57%","108","0.53%","93%","2","2.30%","Can$779.98","2"
"B00IJ77TRI","B00IJ77TRI","Akai Professional MPK225 25-Key USB Midi Drum Pad and Keyboard Performance Controller","DI-UPS6-4RGM","237","1.56%","321","1.58%","42%","2","0.84%","Can$598.00","2"
"B00ILALQZO","B00ILALQZO","Yamaha HS5 W 5-Inch Powered Studio Monitor, White","FY-ODDE-RDJA","114","0.75%","158","0.78%","96%","3","2.63%","Can$719.97","2"
"B00PNG4BV0","B00PNG4BV0","Yamaha FC4A Piano Sustain Foot Pedal","A5-7SOA-MFA0","93","0.61%","113","0.56%","93%","2","2.15%","Can$100.00","2"
"B00QY4RLRQ","B00QY4RLRQ","Steinberg UR12","I4-XA4N-QCC7","41","0.27%","57","0.28%","79%","2","4.88%","Can$199.98","2"
"B00TY8JE60","B00TY8JE60","Mixer Yamaha AG03","PB-T76V-I9IE","45","0.30%","59","0.29%","88%","2","4.44%","Can$299.98","2"
"B00V5BIKNW","B00V5BIKNW","Arturia BeatStep Pro Controller & Sequencer","C8-Q0Y1-1X59","78","0.51%","86","0.42%","87%","2","2.56%","Can$698.00","2"
"B010H4VB42","B010H4VB42","Arturia Keylab 49 Black - Limited Edition","PF-DXYJ-1RK4","34","0.22%","42","0.21%","98%","2","5.88%","Can$678.00","2"
"B0154P5A96","B0154P5A96","Ableton Push 2","UU-IQ77-077K","220","1.45%","286","1.41%","98%","2","0.91%","Can$1,998.00","2"
"B017MVUAHM","B017MVUAHM","Steinberg UR22 MK II","D3-BBBM-YIWI","201","1.32%","274","1.35%","95%","2","1.00%","Can$369.98","2"
"B017VPNRMY","B017VPNRMY","Korg microKEY2 37-Key USB MIDI Controller","NQ-W5VU-SD3A","61","0.40%","79","0.39%","94%","2","3.28%","Can$258.00","2"
"B0195EXA8U","B0195EXA8U","Steinberg Cubase Artist 8.5 Music Production System","FBA3CC0BPH.missing1","26","0.17%","39","0.19%","100%","2","7.69%","Can$799.98","2"
"B01FE5485I","B01FE5485I","Apogee One For Mac - Audio Interface - 2 IN x 2 OUT - Headphone Amp","7A-EDZH-TRB9","26","0.17%","34","0.17%","100%","2","7.69%","Can$698.00","2"
"B001D5D454","B001D5D454","Midisport 2 X 2 Anniversary Edition","17-4B3E-1MML","21","0.14%","26","0.13%","100%","1","4.76%","Can$79.00","1"
"B001FRKK2U","B001FRKK2U","KRK K10S Powered Subwoofer - 10 Inch, 225 Watts","AU-DOHK-FLZC","184","1.21%","240","1.18%","92%","1","0.54%","Can$589.00","1"
"B001GXI53Y","B001GXI53Y","Midisport 4 X 4 Anniversary Edition","MK-PS9W-8MXB","5","0.03%","7","0.03%","71%","1","20.00%","Can$169.00","1"
"B004M8YPKM","B004M8YPKM","Korg nanoPAD2 Slim-Line USB Pad Controller, Black","NC-W2WQ-LQ6W","164","1.08%","234","1.15%","20%","1","0.61%","Can$79.00","1"
"B008I2EOKE","B008I2EOKE","Arturia Spark Vintage Drum Machines Software","DZ-0UZ0-UPXT","18","0.12%","19","0.09%","95%","1","5.56%","Can$110.00","1"
"B00CAKOVQM","B00CAKOVQM","Korg VOLCABEATS - Analog Rhythm Machine","0P-1EJ6-BKS1","262","1.72%","340","1.67%","1%","1","0.38%","Can$229.00","1"
"B00CAKQCHS","B00CAKQCHS","Korg VOLCABASS - Analog Bass Machine","RV-YJ01-NR9V","151","0.99%","202","1.00%","13%","1","0.66%","Can$229.00","1"
"B00CFOXHGS","B00CFOXHGS","Yamaha HS7 100-Watt Series Monitor, Black","LY-VY4H-ZJO0","154","1.01%","207","1.02%","97%","2","1.30%","Can$719.98","1"
"B00CMX8RQ2","B00CMX8RQ2","Apogee ONE Audio Interface for iPad & Mac","JS-G1OL-ZRD3","58","0.38%","68","0.33%","0%","1","1.72%","Can$449.00","1"
"B00FDQAPOW","B00FDQAPOW","Korg TM50C-PW Combo Tuner Metronome with CM200 Contact Mic - Pearl White","II-LWC9-X6JC","15","0.10%","15","0.07%","100%","1","6.67%","Can$54.99","1"
"B00HLTLTGW","B00HLTLTGW","Steinberg UR44 Audio Interface","EO-E8C7-NV1V","135","0.89%","179","0.88%","98%","1","0.74%","Can$349.99","1"
"B00I0RHU8K","B00I0RHU8K","Universal Audio Apollo Twin High-Resolution Thunderbolt Interface with Realtime UAD DUO Processing","4J-OFJZ-K75B","154","1.01%","186","0.92%","96%","1","0.65%","Can$1,240.00","1"
"B00IJ7FGSC","B00IJ7FGSC","Akai Professional MPK249 49-Key USB Midi Drum Pad and Keyboard Performance Controller","MR-3TDY-CDET","207","1.36%","254","1.25%","25%","1","0.48%","Can$479.00","1"
"B00IKTWTD4","B00IKTWTD4","iConnectivity ICP2NA Optional Power Transformer for iConnectMIDI2+","1L-JFS9-8BXY","5","0.03%","6","0.03%","100%","1","20.00%","Can$54.00","1"
"B00IKUZONK","B00IKUZONK","iConnectivity ICC230 5-Foot 30-Pin iOS Inline Connection Cable","N9-BC4Y-2DZO","11","0.07%","12","0.06%","100%","1","9.09%","Can$54.00","1"
"B00ILALQ4K","B00ILALQ4K","Yamaha HS8 W 8-Inch Powered Studio Monitor, White","NC-UJDQ-M393","81","0.53%","122","0.60%","97%","2","2.47%","Can$839.98","1"
"B00J02IWZY","B00J02IWZY","ARTURIA Beatstep Controller Arturia Classic SynthsFast","3U-S6UO-QXWS","34","0.22%","37","0.18%","81%","1","2.94%","Can$129.00","1"
"B00L1FOJ78","B00L1FOJ78","MeeBlip anode Synthesizer Module with Analog Filter","SG-YM7W-XLAD","38","0.25%","42","0.21%","79%","1","2.63%","Can$141.00","1"
"B00N1YQPJ2","B00N1YQPJ2","Native Instruments KOMPLETE 10 Ultimate DJ Controllers and Interfaces","DP-UY5L-7SMS","41","0.27%","59","0.29%","20%","1","2.44%","Can$1,399.00","1"
"B00OQSNAVS","B00OQSNAVS","MPC Headphones","8K-8B53-W8NC","11","0.07%","14","0.07%","100%","1","9.09%","Can$99.99","1"
"B00UAD1NY4","B00UAD1NY4","iConnectivity Audio and MIDI Interface for iOS/Mac/PC Supports Two Computers Simultaneously","UQ-U3OB-GLJT","69","0.45%","87","0.43%","95%","1","1.45%","Can$400.00","1"
"B00UG9S5JI","B00UG9S5JI","UR44 + Cubase 8 Pro upgrade BUNDLE","HJ-BSX4-GNRT","20","0.13%","32","0.16%","94%","1","5.00%","Can$599.99","1"
"B00VXO7WB2","B00VXO7WB2","Avid Pro Tools Perpetual License with 12 Months Support Plan Student/Teacher Card and iLok","77-X00I-9XMX","121","0.79%","156","0.77%","71%","1","0.83%","Can$355.00","1"
"B00WJPXN8K","B00WJPXN8K","Steinberg Cubase Elements 8 Recording Software","DE-HO03-LJ82","12","0.08%","14","0.07%","86%","1","8.33%","Can$129.99","1"
"B013IKB66K","B013IKB66K","Akai MIDImix","Akai MIDImix","36","0.24%","44","0.22%","95%","1","2.78%","Can$119.00","1"
"B013SO1BZC","B013SO1BZC","Alpine Hearing Protection DRUM-MUFFY 9.44 and 34, Black","PF-FJ1B-1UJ7","3","0.02%","4","0.02%","100%","1","33.33%","Can$39.99","1"
"B01BUFESHO","B01BUFESHO","Korg VOLCA Sample - OK GO Limited Edition","4G-9GPV-0ZV4","37","0.24%","37","0.18%","89%","1","2.70%","Can$229.00","1"
"B01E4BZ6W2","B01E4BZ6W2","Yamaha UD-BT01 Wireless Bluetooth MIDI Adaptor - For USB MIDI Controllers & iOS","3Y-8DBT-B0CX","8","0.05%","10","0.05%","90%","1","12.50%","Can$69.99","1"
"B01ENR9WCC","B01ENR9WCC","Korg nanoKONTROL Studio - Mobile Bluetooth MIDI Controller for iOS and Mac","6W-424S-NAW5","64","0.42%","73","0.36%","100%","1","1.56%","Can$199.00","1"
"B01FE7JQOO","B01FE7JQOO","iConnectivity Audio and MIDI 2+ Interface for iOS/Mac/PC - Supports Two Computers Simultaneously","96-XRYM-6C3X","15","0.10%","18","0.09%","100%","1","6.67%","Can$259.00","1"
